Maand,Dag,Routine naam,Totaal duur,Oefeningen
4,25,Dynamic Active Routine,17:17,Dynamic Cactus • Dynamic Hamstring to Hip Stretch • Dynamic Prayer Stretch • Shoulder Stretch with a pole • Dynamic Chest Stretch • Low Lunge Quad Stretch • Roll Lats with a foam roller • Dynamic Cobra • Roll Biceps with a ball • Roll Forearms with a ball • Supine Twist
4,26,Upper Body Focus,15:54,Dynamic Prayer Stretch • Standing Tricep Stretch • 90 Shoulder Stretch • Elevated Lat Stretch • Chest & Shoulder Stretch with a chair • Standing Side Body Stretch • Dynamic Chest Stretch • Neck Sequence • Dynamic Kneeling Chest Stretch • Roll Biceps with a ball • Roll Lats with a foam roller
4,27,Whole Body Routine,16:55,Dynamic Cactus • Standing Side Body Stretch • Chest Stretch with a wall • Calf Stretch with a wall • Dynamic Wrist Sequence • Standing Tricep Stretch • Dynamic Downward Dog • Low Lunge Quad Stretch • Dynamic Seated Hamstring Stretch • Lat Stretch with a foam roller • Roll Quads with a foam roller
4,28,Tension Release,15:50,Neck Sequence • Calf Stretch with a wall • Chest Stretch with a wall • Roll Traps with a ball & wall • Elevated Lat Stretch with a chair • Roll Biceps with a ball • Roll Forearms with a ball • Roll Lats with a foam roller • Supine Twist • Roll Quads with a foam roller
5,1,Whole Body Routine,18:02,Standing Single-Leg Quad Stretch to Forward Fold • Cat / Cow to Tabletop Twist • Hamstring Hook to IT Opener with a strap • Knee Hug to Happy Baby • Kneeling Arm & Wrist Stretch • Neck and Shoulder Sequence
5,2,Whole Body Routine,15:35,High to Low Lunge with a Hamstring Stretch • High to Low Pigeon • Puppy - Downward Dog • Upper Body Sequence
5,3,Whole Body Routine,18:36,Low Lunge to Kneeling Quad Stretch • Puppy Pose to Twist • V-sit to Hamstring Stretch with a strap • Hedgehog to Cobra Stretch • Figure Four to Crossover
5,4,Whole Body Routine,17:25,Cat / Cow to Tabletop Twist • Half Camel • Child's Pose to Frog Pose • Low Lunge to Lizard • Seated Hamstring Stretch with a strap
5,5,Lower Body Routine,20:06,Figure Four to Twist • High to Low Pigeon • Puppy Pose to Downward Dog • Low Lunge to Kneeling Quad Stretch • V-sit to Hamstring Stretch with a strap
5,6,Whole Body Routine,15:16,Standing Single-Leg Quad Stretch to Forward Fold • Child's Pose Twist • Kneeling Arm & Wrist Stretch • Figure Four to Twist • Neck and Shoulder Sequence
5,7,Passive Routine,17:48,Child's Pose to Frog Pose • Single-Leg Knee Hug to Lower Twist • Low Lunge to Lizard • Neck and Shoulder Sequence • Butterfly to Reclined Butterfly
5,8,Whole Body Routine,17:32,"Kneeling Quad, Shin & Foot Stretch • Single-Leg Knee Hug to Lower Twist • Hamstring Hook to IT Opener with a strap • Upper Body Sequence • Butterfly to Reclined Butterfly"
5,9,Whole Body Routine,18:39,High to Low Lunge with a Hamstring Stretch • Puppy Pose to Downward Dog • Seated Hamstring Stretch with a strap • Low Lunge to Kneeling Quad Stretch
5,10,Upper Body Routine,16:00,Half Camel • Upper Body Sequence • Single-Leg Knee Hug to Lower Twist • Hedgehog to Cobra Stretch • Puppy Pose to Downward Dog • Neck and Shoulder Sequence
5,11,Whole Body Routine,15:45,"Child's Pose Twist • Upper Body Sequence • Low Lunge to Lizard • Kneeling Quad, Shin & Foot Stretch • V-sit to Hamstring Stretch with a strap"
5,12,Whole Body Routine,16:02,Standing Single-Leg Quad Stretch to Forward Fold • Hedgehog to Cobra Stretch • Knee Hug to Happy Baby • High to Low Pigeon • Neck and Shoulder Sequence
5,13,Whole Body Routine,17:48,Cat / Cow to Tabletop Twist • Kneeling Arm & Wrist Stretch • Puppy Pose to Twist • Figure Four to Crossover • Hamstring Hook to IT Opener with a strap
5,14,Passive Routine,17:37,High to Low Pigeon • Kneeling Arm & Wrist Stretch • Knee Hug to Happy Baby • Figure Four to Twist • Child's Pose Twist
5,15,Lower Body Routine,15:58,Standing Single-Leg Quad Stretch to Forward Fold • Seated Hamstring Stretch with a strap • Low Lunge to Lizard • Butterfly to Reclined Butterfly
5,16,Whole Body Routine,18:02,Standing Single-Leg Quad Stretch to Forward Fold • Cat / Cow to Tabletop Twist • Hamstring Hook to IT Opener with a strap • Knee Hug to Happy Baby • Kneeling Arm & Wrist Stretch • Neck and Shoulder Sequence
5,17,Whole Body Routine,15:35,High to Low Lunge with a Hamstring Stretch • High to Low Pigeon • Puppy - Downward Dog • Upper Body Sequence
5,18,Whole Body Routine,18:36,Low Lunge to Kneeling Quad Stretch • Puppy Pose to Twist • V-sit to Hamstring Stretch with a strap • Hedgehog to Cobra Stretch • Figure Four to Crossover
5,19,Whole Body Routine,17:25,Cat / Cow to Tabletop Twist • Half Camel • Child's Pose to Frog Pose • Low Lunge to Lizard • Seated Hamstring Stretch with a strap
5,20,Upper Body Routine,17:11,Child's Pose Twist • Kneeling Arm & Wrist Stretch • Child's Pose to Frog Pose • Single-Leg Knee Hug to Lower Twist • Upper Body Sequence • Neck and Shoulder Sequence
5,21,Passive Routine,17:48,Child's Pose to Frog Pose • Single-Leg Knee Hug to Lower Twist • Low Lunge to Lizard • Neck and Shoulder Sequence • Butterfly to Reclined Butterfly
5,22,Whole Body Routine,15:16,Standing Single-Leg Quad Stretch to Forward Fold • Child's Pose Twist • Kneeling Arm & Wrist Stretch • Figure Four to Twist • Neck and Shoulder Sequence
5,23,Whole Body Routine,17:32,"Kneeling Quad, Shin & Foot Stretch • Single-Leg Knee Hug to Lower Twist • Hamstring Hook to IT Opener with a strap • Upper Body Sequence • Butterfly to Reclined Butterfly"
5,24,Whole Body Routine,18:39,High to Low Lunge with a Hamstring Stretch • Puppy Pose to Downward Dog • Seated Hamstring Stretch with a strap • Low Lunge to Kneeling Quad Stretch
5,25,Lower Body Routine,17:56,"Kneeling Quad, Shin & Foot Stretch • Knee Hug to Happy Baby • Puppy Pose to Twist • Hamstring Hook to IT Opener with a strap • Figure Four to Crossover"
5,26,Whole Body Routine,15:45,"Child's Pose Twist • Upper Body Sequence • Low Lunge to Lizard • Kneeling Quad, Shin & Foot Stretch • V-sit to Hamstring Stretch with a strap"
5,27,Whole Body Routine,16:02,Standing Single-Leg Quad Stretch to Forward Fold • Hedgehog to Cobra Stretch • Knee Hug to Happy Baby • High to Low Pigeon • Neck and Shoulder Sequence
5,28,Passive Routine,17:37,High to Low Pigeon • Kneeling Arm & Wrist Stretch • Knee Hug to Happy Baby • Figure Four to Twist • Child's Pose Twist
5,29,Whole Body Routine,17:48,Cat / Cow to Tabletop Twist • Kneeling Arm & Wrist Stretch • Puppy Pose to Twist • Figure Four to Crossover • Hamstring Hook to IT Opener with a strap
5,30,Upper Body Routine,16:26,Cat / Cow to Tabletop Twist • Half Camel • Kneeling Arm & Wrist Stretch • Neck and Shoulder Sequence • Hedgehog to Cobra Stretch • Upper Body Sequence • Child's Pose to Frog Pose
6,1,Whole Body Routine,15:44,Pelvic Circles • Shoulder Squeeze • Forward Fold Sequence (Crossover) • Calf Stretch with Block • Puppy Pose to Downward Dog • Seated Twist • Prone Quad Stretch • Rolling - Upper back
6,3,Glutes & Groin,19:27,Step-Back Reach • Calf Stretch with Block • Pelvic Circles • Seated Twist • Figure Four to Twist • Low Lunge to Lizard Stretch • Butterfly Sequence • Rolling - Glutes
6,4,Spine Reset,20:32,Dynamic Lean • Forward Fold Sequence (Chest Opener) • Triangle Lean • Thread the Needle • Seated Twist • Figure Four to Twist • Neck Sequence • Rolling - Upper back • Rolling - Hamstrings
6,5,Upper Body Focus,14:52,Arm Swings • Shoulder Squeeze • Shoulder Circles • Tricep Stretch with Pole • Windmills • Puppy Pose to Downward Dog • Wrist Sequence • Neck Sequence • Rolling - Lats • Rolling - Upper back
6,6,Leg Focus,23:10,Dynamic Triangle • Lower leg Stretch • Forward Fold Sequence (Crossover) • High Lunge Sequence • Puppy Pose to Downward Dog • Seated Figure Four to Hamstring Stretch • Prone Quad Stretch • Rolling - Quads • Rolling - Calves • Rolling - Shins
6,7,Whole Body Routine,18:41,Step-Back Reach • Dynamic Triangle • Standing Quad Stretch • Lower leg Stretch • Low Lunge to Hamstring Stretch • Seated Toe Pull • Neck Sequence • Rolling - Quads • Rolling - Calves
6,8,Hamstrings & Quads,18:51,Pelvic Circles • Triangle Lean • Calf Stretch with Block • Forward Fold Sequence (Chest Opener) • Low Lunge to Hamstring Stretch • Figure Four to Twist • Rolling - Quads • Rolling - Hamstrings
6,9,Hip Opener,18:43,Pelvic Circles • Standing Quad Stretch • High Lunge Sequence • Low Lunge to Lizard Stretch • Leg Circles • Child's Pose Circles • Rolling - Hip Flexor • Rolling - Quads Single
6,10,Upper Body Focus,17:21,Step-Back Reach • Dynamic Lean • Dynamic Triangle • Eagle-Arm Forward Fold • Thread the Needle • Child's Pose Twist • Puppy Pose to Downward Dog • Wrist Sequence • Rolling - Pec Minor • Rolling - Upper Back
6,11,Dynamic Active Routine,16:51,Dynamic Triangle • Step-Back Reach • Shoulder Squeeze • Pelvic Circles • Child's Pose Circles • Neck Sequence • Thread the Needle • Seated Toe Pull • Rolling - Upper back • Rolling - Quads
6,12,Tension Release,21:04,Leg Circles • Puppy Pose to Downward Dog • Figure Four to Twist • Low Lunge to Lizard Stretch • Neck Sequence • Rolling - Hamstrings • Rolling - Pec Minor • Rolling - Upper Back
6,13,Whole Body Routine,18:48,Pelvic Circles • Dynamic Wide-Leg Twist • High Lunge Sequence • Child's Pose Circles • Leg Circles • Prone Quad Stretch • Rolling - Shins • Rolling - TFL
6,14,Hamstring & Quads,20:12,Dynamic Triangle • High Lunge Sequence • Forward Fold Sequence (Crossover) • Low Lunge to Hamstring Stretch • Seated Toe Pull • Leg Circles • Rolling - Quads Single • Rolling - Hamstrings
6,15,Glutes & Groin,19:27,Step-Back Reach • Calf Stretch with Block • Pelvic Circles • Seated Twist • Figure Four to Twist • Low Lunge to Lizard Stretch • Butterfly Sequence • Rolling - Glutes
6,16,Hip Opener,18:43,Pelvic Circles • Standing Quad Stretch • High Lunge Sequence • Low Lunge to Lizard Stretch • Leg Circles • Child's Pose Circles • Rolling - Hip Flexor • Rolling - Quads Single
6,17,Upper Body Focus,14:52,Arm Swings • Shoulder Squeeze • Shoulder Circles • Tricep Stretch with Pole • Windmills • Puppy Pose to Downward Dog • Wrist Sequence • Neck Sequence • Rolling - Lats • Rolling - Upper back
6,18,Whole Body Routine,20:17,Forward Fold Sequence (Crossover) • Shoulder Circles • Dynamic Lean • Standing Quad Stretch • Child's Pose Circles • Wrist Sequence • Seated Figure Four to Hamstring Stretch • Neck Sequence • Upper back • Rolling - Quads • Rolling - Glutes
6,19,Hamstring & Quads,18:51,Pelvic Circles • Triangle Lean • Calf Stretch with Block • Forward Fold Sequence (Chest Opener) • Low Lunge to Hamstring Stretch • Figure Four to Twist • Rolling - Quads • Rolling - Hamstrings
6,20,Glutes & Groin,,Step-Back Reach • Calf Stretch with Block • Pelvic Circles • Seated Twist • Figure Four to Twist • Low Lunge to Lizard Stretch • Butterfly Sequence • Rolling - Glutes
6,21,Spine Reset,20:01,Step-Back Reach • Dynamic Triangle • Eagle-Arm Forward Fold • Puppy Pose to Downward Dog • Windmills • Seated Twist • Figure Four to Twist • Rolling - Upper back • Rolling - Shins
6,22,Tension Release,19:59,Forward Fold Sequence (Crossover) • Dynamic Lean • Child's Pose Circles • Windmills • Low Lunge to Hamstring Stretch • Seated Twist • Child's Pose Twist • Rolling - Upper back • Rolling - Bottoms of Feet
6,23,Whole Body Routine,18:50,Step-Back Reach • Dynamic Lean • Calf Stretch with Block • Puppy Pose to Downward Dog • Thread the Needle • Figure Four to Twist • Child's Pose Twist • Rolling - Hamstrings • Rolling - Upper back
6,24,Leg Focus,20:51,Dynamic Wide-Leg Twist • Calf Stretch with Block • Step-Back Reach • Low Lunge to Hamstring Stretch • Seated Toe Pull • Leg Circles • Puppy Pose to Downward Dog • Rolling - TFL • Rolling - Hamstrings
6,25,Hip Opener,18:43,Pelvic Circles • Standing Quad Stretch • High Lunge Sequence • Low Lunge to Lizard Stretch • Leg Circles • Child's Pose Circles • Rolling - Hip Flexor • Rolling - Quads Single
6,26,Dynamic Active Routine,16:51,Dynamic Triangle • Step-Back Reach • Shoulder Squeeze • Pelvic Circles • Child's Pose Circles • Neck Sequence • Thread the Needle • Seated Toe Pull • Rolling - Upper back • Rolling - Quads
6,27,Leg Focus,20:51,Dynamic Wide-Leg Twist • Calf Stretch with Block • Step-Back Reach • Low Lunge to Hamstring Stretch • Seated Toe Pull • Leg Circles • Puppy Pose to Downward Dog • Rolling - TFL • Rolling - Hamstrings
6,28,Tension Release,19:59,Forward Fold Sequence (Crossover) • Dynamic Lean • Child's Pose Circles • Windmills • Low Lunge to Hamstring Stretch • Seated Twist • Child's Pose Twist • Rolling - Upper back • Rolling - Bottoms of Feet
7,1,Whole Body Routine,16:27,5 Point Sumo Stretch • Dynamic Overhead Sequence • Reverse Prayer Pose • Standing Side Stretch • Chest and Back Fly • Dynamic Frog Stretch • Dynamic Downward Dog • 90/90 Stretch • Modified Piegeon Stretch • Foot and Calf Stretch • Lying Glute Stretch
7,2,Upper Body Focus,16:17,Chest and Back Fly • Elevated Crossover Stretch • Standing Side Stretch • Dynamic Forward Fold • Side Bend (using a wall) • Tabletop Thoracic Twist • Dynamic Downward Dog • Low Lunge with a Chest Stretch • Pretzel Quad Stretch • Seated Butterfly with a Neck Stretch
7,3,Dynamic Active Routine,16:45,Chest and Back Fly • Standing Shoulder Stretch • Thoracic Spine Rotation • Reverse Prayer Pose • Side Bend (using a wall) • Low Lunge Twist • Dynamic Gate Pose • Dynamic Hamstring Hook (using a strap) • Dynamic Frog Stretch • Seated Glute Stretch
7,4,Leg Focus,17:16,High Lunge Calf Stretch • Standing Quad Stretch • Dynamic Downward Dog • Lifted Hamstring Stretch (using a strap) • Seated Twist and Tuck • Bodyweight Calf Release • Low Lunge Lean • Reclined Crisscross • Lying Glute Stretch
7,5,Glutes & Groin,16:22,Dynamic Frog Stretch • Seated Glute Stretch • Low Lunge Twist • 90/90 Stretch • Seated Twist and Tuck • Adductor Drop • Seated Butterfly with Neck Stretch • Lying Glute Stretch • Figure Four (using a wall)
7,6,Whole Body Routine,16:47,High Lunge Calf Stretch • Standing Quad Stretch • Dynamic Cross Over Stretch • Dynamic Cactus • Low Lunge Twist • Tabletop Thoracic Twist • Seated Twist & Tuck • Dynamic Hamstring Hook (using a strap) • Adductor Drop • Seated Butterfly with Neck Stretch
7,7,Hip Opener,16:03,5 Point Sumo Stretch • Low Lunge with Chest Stretch • Dynamic Gate Pose • 90/90 Stretch • Low Lunge Lean • Pretzel Quad Stretch • Modified Pigeon Stretch • Reclined Criss Cross
7,8,Hamstrings & Quads,15:11,Dynamic Crossover Stretch • Standing Quad Stretch • Chest Stretch (using a wall) • Dynamic Gate Pose • Adductor Drop • Pretzel Quad Stretch • Lifted Hamstring Stretch (using a strap) • Dynamic Seated Split • Modified Pigeon Pose
7,9,Whole Body Routine,17:30,Dynamic High Lunge • Chest Stretch (using a wall) • Standing Shoulder Stretch • Side Bend (using a wall) • Low Lunge Lean • Figure Four (using a wall) • Dynamic Seated Split • Seated Quad Stretch • Kneeling Wrist Sequence
7,10,Upper Body Focus,17:00,5 Point Sumo Stretch • Dynamic Crossover Stretch • Standing Shoulder Stretch • Dynamic Overhead Sequence • Reverse Prayer Pose • Thoracic Spine Rotation • Low Lunge with a Chest Stretch • Dynamic Seated Split • Kneeling Wrist Sequence • Low Lunge Twist
7,11,Spine Reset,19:02,Dynamic Crossover Stretch • Standing Side Stretch • Chest and Back Fly • Dynamic Forward Fold • Chest Stretch (using a wall) • Thoracic Spine Rotation • Low Lunge Twist • Ptrezel Quad Stretch • Seated Twist & Tuck • Seated Butterfly with a Neck Stretch
7,12,Tension Release,15:52,Standing Quad Stretch • Standing Side Stretch • Chest Stretch (using a wall) • Calf Stretch (using a wall) • Figure Four (using a wall) • Adductor Drop • Lifted Hamstring Stretch (using a strap) • Modified Pigeon Pose • Bodyweight Calf Release
7,13,Whole Body Routine,16:50,Thoracic Spine Rotation • Dynamic Forward Fold • Elevated Crossover Stretch • High Lunge Calf Stretch • Low Lunge with Chest Stretch • Dynamic Gate Pose • Seated Glute Stretch • Pretzel Quad Stretch • Bodyweight Calf Release
7,14,Leg Focus,16:08,Dynamic Forward Fold • Calf Stretch (using a wall) • Dynamic Seated Split • Seated Glute Stretch • 90/90 Stretch • Foot and Calf Stretch • Pretzel Quad Stretch • Dynamic Hamstring Hook (using a strap) • Modified Pigeon Stretch
7,15,Dynamic Active Routine,16:45,Chest and Back Fly • Standing Shoulder Stretch • Thoracic Spine Rotation • Reverse Prayer Pose • Side Bend (using a wall) • Low Lunge Twist • Dynamic Gate Pose • Dynamic Hamstring Hook (using a strap) • Dynamic Frog Stretch • Seated Glute Stretch
7,16,Glutes & Groin,16:22,Dynamic Frog Stretch • Seated Glute Stretch • Low Lunge Twist • 90/90 Stretch • Seated Twist and Tuck • Adductor Drop • Seated Butterfly with Neck Stretch • Lying Glute Stretch • Figure Four (using a wall)
7,17,Whole Body Routine,17:44,Dynamic Overhead Sequence • 5 Point Sumo Stretch • Dynamic High Lunge • Chest and Back Fly • Low Lunge Twist • Lifted Hamstring Stretch (using a strap) • Seated Quad Stretch • Reclined Criss Cross • Kneeling Wrist Sequence • Seated Butterfly with Neck Stretch
7,18,Hip Opener,16:03,5 Point Sumo Stretch • Low Lunge with Chest Stretch • Dynamic Gate Pose • 90/90 Stretch • Low Lunge Lean • Pretzel Quad Stretch • Modified Pigeon Stretch • Reclined Criss Cross
7,19,Upper Body Focus,16:17,Chest and Back Fly • Elevated Crossover Stretch • Standing Side Stretch • Dynamic Forward Fold • Side Bend (using a wall) • Tabletop Thoracic Twist • Dynamic Downward Dog • Low Lunge with a Chest Stretch • Pretzel Quad Stretch • Seated Butterfly with a Neck Stretch
7,20,Hamstrings & Quads,16:21,5 Point Sumo Stretch • Dynamic Forward Fold • Standing Quad Stretch • Dynamic High Lunge • Dynamic Frog Stretch • Dynamic Downward Dog • Seated Quad Stretch • Dynamic Hamstring Hook (using a strap) • Reclined Crisscross
7,21,Whole Body Routine,16:27,5 Point Sumo Stretch • Dynamic Overhead Sequence • Reverse Prayer Pose • Standing Side Stretch • Chest and Back Fly • Dynamic Frog Stretch • Dynamic Downward Dog • 90/90 Stretch • Modified Piegeon Stretch • Foot and Calf Stretch • Lying Glute Stretch
7,22,Spine Reset,16:16,Dynamic Overhead Sequence • Elevated Crossover Stretch • Reverse Prayer Pose • Dynamic Cactus • Side Bend (using a wall) • Tabletop Thoracic Twist • Low Lunge Lean • Seated Twist and Tuck • Dynamic Seated Split • Seated Butterfly with a Neck Stretch
7,23,Tension Release,17:07,Dynamic Downward Dog • Low Lunge with Chest Stretch • Seated Quad Stretch • Kneeling Wrist Sequence • 90/90 Stretch • Bodyweight Calf Release • Lying Glute Stretch • Seated Butterfly with a Neck Stretch • Reclined Crisscross
7,24,Leg Focus,17:16,High Lunge Calf Stretch • Standing Quad Stretch • Dynamic Downward Dog • Lifted Hamstring Stretch (using a strap) • Seated Twist and Tuck • Bodyweight Calf Release • Low Lunge Lean • Reclined Crisscross • Lying Glute Stretch
7,25,Hamstrings & Quads,15:11,Dynamic Crossover Stretch • Standing Quad Stretch • Chest Stretch (using a wall) • Dynamic Gate Pose • Adductor Drop • Pretzel Quad Stretch • Lifted Hamstring Stretch (using a strap) • Dynamic Seated Split • Modified Pigeon Pose
7,26,Whole Body Routine,17:30,Dynamic High Lunge • Chest Stretch (using a wall) • Standing Shoulder Stretch • Side Bend (using a wall) • Low Lunge Lean • Figure Four (using a wall) • Dynamic Seated Split • Seated Quad Stretch • Kneeling Wrist Sequence
7,27,Spine Reset,19:02,Dynamic Crossover Stretch • Standing Side Stretch • Chest and Back Fly • Dynamic Forward Fold • Chest Stretch (using a wall) • Thoracic Spine Rotation • Low Lunge Twist • Ptrezel Quad Stretch • Seated Twist & Tuck • Seated Butterfly with a Neck Stretch
7,28,Tension Release,15:52,Standing Quad Stretch • Standing Side Stretch • Chest Stretch (using a wall) • Calf Stretch (using a wall) • Figure Four (using a wall) • Adductor Drop • Lifted Hamstring Stretch (using a strap) • Modified Pigeon Pose • Bodyweight Calf Release
8,1,Whole Body Routine,15:25,Dynamic Overhead Sequence • Over the Hedge • Wide Legged Fold - Side Lunge • Thoracic Spine Rotation • Hip Bridge • Lower Twist • Puppy Pose - Downward Dog • Shoulder Circles
8,2,Whole Body Routine,17:12,Step Back & Reach • Star Twist • Gate Pose • Dynamic Baby Cobra • Hamstring Hook to IT Opener with a strap • Cat/Cow to Spinal Rotation • Seated Neck Stretch • Roll Quads
8,3,Whole Body Routine,18:56,High Lunge Sequence • Upper Body Bind • Standing Hamstring Stretch • Standing Quad Stretch • Prone Y Raise • Single Leg Sequence • See Saw Stretch • Seated Shoulder Sequence • Roll upper Back
8,4,Whole Body Routine,15:52,Elbow Squeeze • Wide Legged Fold - Side Lunge • Calf Stretch with a block • Thoracic Spine Rotation • Pelvic Tilts • Low Lunge Lean • Knee Hug to Happy Baby • Shoulder Circles
8,5,Lower Body Routine,15:53,Over the Hedge • Standing Hamstring Stretch • Standing Quad Stretch • Pelvic Tilts • Hip Bridge • Knee Hug to Happy Baby • Low Lunge Lean • Roll Quads
8,6,Whole Body Routine,15:29,Dynamic Overhead Sequence • Over the Hedge • Standing Quad Stretch • Star Twist • Step Back & Reach • Supine Hamstring Stretch • Seated Twist • Seated Neck Stretch • Roll Upper Back
8,7,Passive Routine,15:11,Single Leg Sequence • Hamstring Hook to IT Opener with a strap • Lower Twist • Seated Neck Stretch • Roll upper Back • Roll Quads
8,8,Whole Body Routine,17:22,Calf Stretch with a block • Upper Body Bind • Pelvic Tilts • Hip Bridge • Quad Stretch w/ Strap • Seated Figure Four to Hamstring Stretch with a strap • Prone Y Raise • Cat/Cow to Spinal Rotation
8,9,Whole Body Routine,17:20,Elbow Squeeze • Standing Hamstring Stretch • Single Leg Sequence • Knee Hug to Happy Baby • See Saw Stretch • Puppy Pose - Downward Dog • Roll Quads • Seated Twist
8,10,Upper Body Routine,15:49,Dynamic Overhead Sequence • Upper Body Bind • Thoracic Spine Rotation • Prone Y Raise • Seated Neck Stretch • See Saw Stretch • Dynamic Baby Cobra • Puppy Pose - Downward Dog • Shoulder Circles • Seated Shoulder Sequence
8,11,Whole Body Routine,15:57,Over the Hedge • High Lunge Sequence • Low Lunge Lean • Dynamic Baby Cobra • Seated Shoulder Sequence • Supine Hamstring Stretch • Quad Stretch w/ Strap • Roll Upper Back
8,12,Whole Body Routine,19:50,Gate Pose • Hamstring Hook to IT Opener with a strap • Lower Twist • Cat/Cow to Spinal Rotation • Prone Y Raise • Puppy Pose - Downward Dog • Seated Figure Four to Hamstring Stretch with a strap
8,13,Whole Body Routine,17:28,Dynamic Overhead Sequence • Star Twist • Elbow Squeeze • Standing Quad Stretch • Low Lunge Lean • Hip Bridge • Single Leg Sequence • Lower Twist
8,14,Passive Routine,16:04,Calf Stretch with a block • Quad Stretch w/ Strap • Hamstring Hook to IT Opener with a strap • Knee Hug to Happy Baby • Seated Neck Stretch • Roll upper Back • Lower Twist
8,15,Lower Body Routine,15:18,High Lunge Sequence • Wide Legged Fold - Side Lunge • Calf Stretch with a block • Hamstring Hook to IT Opener with a strap • Seated Twist • Quad Stretch w/ Strap
8,16,Whole Body Routine,15:25,Dynamic Overhead Sequence • Over the Hedge • Wide Legged Fold - Side Lunge • Thoracic Spine Rotation • Hip Bridge • Lower Twist • Puppy Pose - Downward Dog • Shoulder Circles
8,17,Whole Body Routine,17:12,Step Back & Reach • Star Twist • Gate Pose • Dynamic Baby Cobra • Hamstring Hook to IT Opener with a strap • Cat/Cow to Spinal Rotation • Seated Neck Stretch • Roll Quads
8,18,Whole Body Routine,18:56,High Lunge Sequence • Upper Body Bind • Standing Hamstring Stretch • Standing Quad Stretch • Prone Y Raise • Single Leg Sequence • See Saw Stretch • Seated Shoulder Sequence • Roll upper Back
8,19,Whole Body Routine,15:52,Elbow Squeeze • Wide Legged Fold - Side Lunge • Calf Stretch with a block • Thoracic Spine Rotation • Pelvic Tilts • Low Lunge Lean • Knee Hug to Happy Baby • Shoulder Circles
8,20,Upper Body Routine,16:07,Dynamic Overhead Sequence • Elbow Squeeze • Step Back & Reach • Thoracic Spine Rotation • Lower Twist • Dynamic Baby Cobra • Shoulder Circles • Prone Y Raise • Cat/Cow to Spinal Rotation
8,21,Passive Routine,15:11,Single Leg Sequence • Hamstring Hook to IT Opener with a strap • Lower Twist • Seated Neck Stretch • Roll upper Back • Roll Quads
8,22,Whole Body Routine,15:29,Dynamic Overhead Sequence • Over the Hedge • Standing Quad Stretch • Star Twist • Step Back & Reach • Supine Hamstring Stretch • Seated Twist • Seated Neck Stretch • Roll Upper Back
8,23,Whole Body Routine,17:22,Calf Stretch with a block • Upper Body Bind • Pelvic Tilts • Hip Bridge • Quad Stretch w/ Strap • Seated Figure Four to Hamstring Stretch with a strap • Prone Y Raise • Cat/Cow to Spinal Rotation
8,24,Whole Body Routine,17:20,Elbow Squeeze • Standing Hamstring Stretch • Single Leg Sequence • Knee Hug to Happy Baby • See Saw Stretch • Puppy Pose - Downward Dog • Roll Quads • Seated Twist
8,25,Lower Body Routine,18:51,Over the Hedge • Standing Hamstring Stretch • Gate Pose • Supine Hamstring Stretch • Single Leg Sequence • Seated Figure Four to Hamstring Stretch with a strap • Roll Quads
8,26,Whole Body Routine,15:57,Over the Hedge • High Lunge Sequence • Low Lunge Lean • Dynamic Baby Cobra • Seated Shoulder Sequence • Supine Hamstring Stretch • Quad Stretch w/ Strap • Roll Upper Back
8,27,Whole Body Routine,19:50,Gate Pose • Hamstring Hook to IT Opener with a strap • Lower Twist • Cat/Cow to Spinal Rotation • Prone Y Raise • Puppy Pose - Downward Dog • Seated Figure Four to Hamstring Stretch with a strap
8,28,Passive Routine,16:04,Calf Stretch with a block • Quad Stretch w/ Strap • Hamstring Hook to IT Opener with a strap • Knee Hug to Happy Baby • Seated Neck Stretch • Roll upper Back • Lower Twist
8,29,Whole Body Routine,17:28,Dynamic Overhead Sequence • Star Twist • Elbow Squeeze • Standing Quad Stretch • Low Lunge Lean • Hip Bridge • Single Leg Sequence • Lower Twist
8,30,Upper Body Routine,15:48,Star Twist • Upper Body Bind • Thoracic Spine Rotation • Seated Shoulder Sequence • Puppy Pose - Downward Dog • Cat/Cow to Spinal Rotation • See Saw Stretch • Shoulder Circles • Seated Neck Stretch
9,1,Whole Body Routine,16:02,Dynamic Overhead Sequence • Dynamic Shoulder Stretch with a pole • Mini Band March • Lifted Hip Flexor Stretch with a Chair • Seated Figure Four with Chair • Forward Fold with Rotation • Dead Bug Press • Cat/Cow • Child's Pose Twist • 90/90 Stretch
9,2,Whole Body Routine,16:56,Dynamic Side Bends • Standing Crunch • Thoracic Spine Rotation • Wrist Circle Stretch • Dynamic Cactus with a wall • Single Arm Chest Stretch with a Wall • Seated Leg Lifts • Kneeling Quad Stretch • Yoga Sequence • Roll Upper Traps
9,3,Whole Body Routine,16:30,Dynamic Side Body Stretch • Single Leg Hamstring Sequence • Dynamic Standing Rotations • Hip Flexor Stretch with a Chair • Plank Shoulder Tap • Tabletop Thoracic Twist • Butterfly Cat Cow • Bridge Walks • Half Kneeling Quad Stretch
9,4,Whole Body Routine,17:57,Side Bends with a pole • Shoulder 360s with a pole • Chest Stretch with a Wall • Single Arm Chest Stretch with a Wall • Bird Dog Crunch • Cat/Cow • Plank Shoulder Tap • Kneeling Wrist Stretch • Single Leg Bridge with Dynamic Lift • 90/90 Stretch • Half Kneeling Quad Stretch
